=== Started 2023-03-21T03-09-22-202 ===
[ERROR][03:09:22] Unknown gameserver.ini value: serverWelcome3
[INFO ][03:09:22] 2 bad words loaded
[INFO ][03:09:22] 4 user records loaded.
[INFO ][03:09:22] 0 IP ban records loaded.
[INFO ][03:09:22] [1m[32mMultiOgar-Edited 1.6.1[37m - An open source multi-protocol ogar server[0m
[INFO ][03:09:22] WebSocket: ws
[INFO ][03:09:22] Started stats server on port 1234
[INFO ][03:09:22] Listening on port 3000
[INFO ][03:09:22] Current game mode is vFree For All
[INFO ][03:09:22] Added 4 player bots
[NONE ][03:09:22]   __  __       _ _   _  ___                        _____    _ _ _           _    _   __    _ 
 |  \/  |_   _| | |_(_)/ _ \  __ _  __ _ _ __     | ____|__| (_) |_ ___  __| |  / | / /_  / |
 | |\/| | | | | | __| | | | |/ _` |/ _` | '__|____|  _| / _` | | __/ _ \/ _` |  | || '_ \ | |
 | |  | | |_| | | |_| | |_| | (_| | (_| | | |_____| |__| (_| | | ||  __/ (_| |  | || (_) || |
 |_|  |_|\__,_|_|\__|_|\___/ \__, |\__,_|_|       |_____\__,_|_|\__\___|\__,_|  |_(_)___(_)_|
                             |___/                                                           
[NONE ][03:09:30] CONNECTED 73.197.234.235:59632, origin: "https://34f255ab-3d17-48d9-9f19-a2c64b272861.id.repl.co"
[ERROR][03:10:12] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[NONE ][03:10:35] DISCONNECTED 73.197.234.235:59632, code: 1006, reason: "null", name: ""
[ERROR][03:10:42] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[ERROR][03:11:12] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[ERROR][03:11:42] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[ERROR][03:12:12] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[ERROR][03:12:42] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[ERROR][03:13:12] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[ERROR][03:13:42] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[ERROR][03:14:12] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[ERROR][03:14:42] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[ERROR][03:15:12] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
[ERROR][03:15:42] [Tracker][ogar.mivabe.nl]: Error: getaddrinfo EAI_AGAIN ogar.mivabe.nl
